PartID,CatalogID,PartString,Description - Updated 11/11/10,Quantity, Price ,Labor,Lin Ft Price, Item Price ,SuppressInBom,BulkPriced,HideInBom,SpecialFlags,Weight,Image
100004274,4,000.935.981.009.00M,"Adjustable Safety Shelf, (18x14), Windswept Pewter",1,15.86,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004275,4,000.935.011.009.00M,"Adjustable Safety Shelf, (24x14), Windswept Pewter",1,21.63,0.025,,,FALSE,FALSE,0,"CutV,CutD",7,100001385
100004276,4,000.935.021.009.00M,"Adjustable Safety Shelf, (30x14), Windswept Pewter",1,25.96,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004277,4,000.935.031.009.00M,"Adjustable Safety Shelf, (36x14), Windswept Pewter",1,28.85,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004278,4,000.935.041.009.00M,"Adjustable Safety Shelf, (42x14), Windswept Pewter",1,34.63,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004279,4,000.935.922.009.00M,"Adjustable Safety Shelf, (12x16), Windswept Pewter",1,12.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004280,4,000.935.982.009.00M,"Adjustable Safety Shelf, (18x16), Windswept Pewter",1,17.3,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004281,4,000.935.012.009.00M,"Adjustable Safety Shelf, (24x16), Windswept Pewter",1,23.07,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004282,4,000.935.022.009.00M,"Adjustable Safety Shelf, (30x16), Windswept Pewter",1,27.41,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004283,4,000.935.032.009.00M,"Adjustable Safety Shelf, (36x16), Windswept Pewter",1,31.74,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004284,4,000.935.042.009.00M,"Adjustable Safety Shelf, (42x16), Windswept Pewter",1,36.08,0.025,,,FALSE,FALSE,0,"CutV,CutD",14,100001385
100004285,4,000.935.923.009.00M,"Adjustable Safety Shelf, (12x20), Windswept Pewter",1,15.86,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004286,4,000.935.983.009.00M,"Adjustable Safety Shelf, (18x20), Windswept Pewter",1,20.18,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004287,4,000.935.013.009.00M,"Adjustable Safety Shelf, (24x20), Windswept Pewter",1,25.96,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004288,4,000.935.023.009.00M,"Adjustable Safety Shelf, (30x20), Windswept Pewter",1,30.3,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004289,4,000.935.033.009.00M,"Adjustable Safety Shelf, (36x20), Windswept Pewter",1,34.63,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004290,4,000.935.043.009.00M,"Adjustable Safety Shelf, (42x20), Windswept Pewter",1,38.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004291,4,000.935.924.009.00M,"Adjustable Safety Shelf, (12x24), Windswept Pewter",1,17.3,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004292,4,000.935.984.009.00M,"Adjustable Safety Shelf, (18x24), Windswept Pewter",1,24.52,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004293,4,000.935.014.009.00M,"Adjustable Safety Shelf, (24x24), Windswept Pewter",1,31.74,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
